date1,tamaz,temp1,swap1,etamaz,date2,utamaz,temp2,swap2,eutamaz,,,
2022/8/13 4:44,133.485,"+5,413 円","5,413",132.944,2022/8/22 9:00,137.075,"-4,659 円","-4,659",136.609,,,
2022/8/17 5:36,134.265,"+5,225 円","5,225",133.743,2022/8/29 7:10,137.79,"-3,983 円","-3,983",137.392,,,
2022/9/3 4:35,140.18,"+3,399 円","3,399",139.84,2022/9/1 6:55,139.03,"-3,399 円","-3,399",138.69,,,
2022/9/7 5:32,142.835,"+3,197 円","3,197",142.515,2022/9/5 7:45,140.38,"-3,298 円","-3,298",140.05,,,
2022/9/14 5:54,144.555,"+2,477 円","2,477",144.307,2022/9/14 7:00,144.755,"-2,374 円","-2,374",144.518,,,
2022/9/17 4:40,142.89,"+1,873 円","1,873",142.703,2022/9/19 16:25,143.395,"-1,873 円","-1,873",143.208,,,
2022/9/21 5:44,143.78,"+1,770 円","1,770",143.603,2022/9/26 9:53,143.855,-961 円,-961,143.759,,,
2022/9/28 5:37,144.835,+828 円,828,144.752,2022/10/1 4:50,144.77,-140 円,-140,144.756,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
